Timestamp,Keterangan Pintu 1,Keterangan Pintu 2,Akses Ruangan,Jumlah Orang
2023-09-11 12:48:50.499111,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:48:53.054777,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:48:55.507522,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:48:58.895292,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:49:01.282051,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:49:25.825160,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:49:28.580732,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:49:31.551488,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:49:34.323407,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:49:37.588244,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:49:50.185294,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:49:53.362133,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:49:56.531903,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:49:59.410025,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:50:02.791564,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:52:53.349612,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:52:56.256280,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:52:59.327935,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:53:01.991670,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:53:05.170064,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:55:17.463585,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:55:19.817067,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:55:22.473942,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:55:25.346957,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 12:55:27.848609,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:27:38.882580,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:27:41.858479,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:27:45.949719,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:27:49.122226,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:27:52.609317,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:28:33.279236,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:28:35.210371,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:28:37.092110,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:28:39.525972,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:28:42.122834,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:41:55.667164,Pintu 1 terbuka,Pintu 2 tertutup,1,1
2023-09-11 18:41:58.936691,Pintu 1 terbuka,Pintu 2 tertutup,1,1
2023-09-11 18:42:02.221043,Pintu 1 terbuka,Pintu 2 tertutup,1,1
2023-09-11 18:42:05.271902,Pintu 1 terbuka,Pintu 2 tertutup,1,1
2023-09-11 18:42:08.264191,Pintu 1 terbuka,Pintu 2 tertutup,1,1
2023-09-11 18:47:11.293703,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:47:19.323400,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:47:26.825355,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:47:32.869479,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:47:36.546042,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:47:59.382535,Pintu 1 tertutup,Pintu 2 terbuka,1,1
2023-09-11 18:48:08.604718,Pintu 1 tertutup,Pintu 2 terbuka,1,1
2023-09-11 18:48:14.235442,Pintu 1 tertutup,Pintu 2 terbuka,1,1
2023-09-11 18:48:17.604975,Pintu 1 tertutup,Pintu 2 terbuka,1,1
2023-09-11 18:48:21.812237,Pintu 1 tertutup,Pintu 2 tertutup,0,1
2023-09-11 18:49:12.797394,Pintu 1 tertutup,Pintu 2 terbuka,1,1
2023-09-11 18:49:18.236651,Pintu 1 tertutup,Pintu 2 terbuka,1,1
2023-09-11 18:49:23.046313,Pintu 1 tertutup,Pintu 2 terbuka,1,1
2023-09-11 18:49:26.840297,Pintu 1 tertutup,Pintu 2 terbuka,1,1
2023-09-11 18:49:30.924803,Pintu 1 tertutup,Pintu 2 terbuka,1,1
